O,C,E,A,N,Article,Funct,Affect,CogMech,Inhib,Negemo,Sad,Bio,Body,Achiev,Health,Sexual,Adverbs,Prep,Relativ,Space,Time,Work,Certain,Assent,Anger,Insight,Posemo,Past,Verbs,Money,Percept,Friends,Social,Motion,Cause,Leisure,Incl,Home,Present,Humans,Anx,Relig,AuxVb,Negate,Ingest,Death,Quant,Tentat,Conj,Ipron,Pronoun,Swear,Hear,Family,See,Discrep,Numbers,Filler,Feel,Excl,Future,Nonflu,SheHe,Ppron,I,We,You,They,type_by_token_ratio,f_measure,i_measure,wrong_word_count,words_per_sentence,count_6,count_7,count_8,count_9,number_past_tense,number_present_tense,number_punctuations,vocabulary_richness,positive_score
mid,mid,high,mid,mid,0.024630541871921183,0.4482758620689655,0.0,0.12807881773399016,0.0049261083743842365,0.009852216748768473,0.0,0.009852216748768473,0.0,0.014778325123152709,0.0049261083743842365,0.0,0.06403940886699508,0.09359605911330049,0.12315270935960591,0.019704433497536946,0.04433497536945813,0.0,0.034482758620689655,0.0,0.0,0.0049261083743842365,0.0,0.019704433497536946,0.13793103448275862,0.0,0.024630541871921183,0.0,0.054187192118226604,0.009852216748768473,0.019704433497536946,0.029556650246305417,0.059113300492610835,0.0,0.07389162561576355,0.0,0.0,0.0,0.10344827586206896,0.014778325123152709,0.009852216748768473,0.0,0.054187192118226604,0.0049261083743842365,0.03940886699507389,0.024630541871921183,0.12315270935960591,0.0,0.019704433497536946,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0049261083743842365,0.0049261083743842365,0.034482758620689655,0.0,0.0,0.09852216748768473,0.06896551724137931,0.024630541871921183,0.0,0.0049261083743842365,0.3842364532019704,67.0,900,0.034482758620689655,40.6,0.10344827586206896,0.07881773399014778,0.04926108374384237,0.014778325123152709,0.09359605911330049,0.0,2.4,3.565063649222065,5.437897435897441
mid,mid,high,mid,mid,0.09379509379509379,0.575036075036075,0.022366522366522368,0.170995670995671,0.001443001443001443,0.02886002886002886,0.002886002886002886,0.007936507936507936,0.004329004329004329,0.008658008658008658,0.001443001443001443,0.0,0.045454545454545456,0.1341991341991342,0.14502164502164502,0.06782106782106782,0.051226551226551224,0.005050505050505051,0.007215007215007215,0.0,0.0021645021645021645,0.015151515151515152,0.018037518037518036,0.08152958152958154,0.1341991341991342,0.0,0.03318903318903319,0.0,0.09523809523809523,0.026695526695526696,0.012265512265512266,0.007936507936507936,0.08585858585858586,0.008658008658008658,0.04184704184704185,0.01443001443001443,0.0,0.0,0.08441558441558442,0.01875901875901876,0.0021645021645021645,0.004329004329004329,0.024531024531024532,0.021645021645021644,0.06349206349206349,0.046176046176046176,0.1240981240981241,0.0,0.006493506493506494,0.013708513708513708,0.01443001443001443,0.013708513708513708,0.007936507936507936,0.005772005772005772,0.010822510822510822,0.021645021645021644,0.0036075036075036075,0.0,0.010822510822510822,0.07792207792207792,0.025974025974025976,0.03535353535353535,0.0007215007215007215,0.008658008658008658,0.34559884559884557,162.5,3800,0.023809523809523808,69.3,0.19985569985569984,0.113997113997114,0.06565656565656566,0.031746031746031744,0.10606060606060606,0.01948051948051948,2.6,7.321784714831895,5.293891934220811
mid,mid,high,mid,mid,0.07472527472527472,0.5186813186813187,0.03076923076923077,0.15164835164835164,0.002197802197802198,0.024175824175824177,0.002197802197802198,0.002197802197802198,0.002197802197802198,0.01978021978021978,0.0,0.0,0.04835164835164835,0.11428571428571428,0.07912087912087912,0.02197802197802198,0.04835164835164835,0.0,0.017582417582417582,0.0,0.0,0.015384615384615385,0.03736263736263736,0.03736263736263736,0.12747252747252746,0.0,0.008791208791208791,0.0,0.06813186813186813,0.008791208791208791,0.024175824175824177,0.0,0.041758241758241756,0.0,0.07252747252747253,0.008791208791208791,0.0,0.0,0.08571428571428572,0.024175824175824177,0.0,0.0,0.02197802197802198,0.01978021978021978,0.06153846153846154,0.05274725274725275,0.10989010989010989,0.0,0.006593406593406593,0.0,0.002197802197802198,0.017582417582417582,0.006593406593406593,0.006593406593406593,0.0,0.03296703296703297,0.008791208791208791,0.0,0.002197802197802198,0.05714285714285714,0.02857142857142857,0.004395604395604396,0.004395604395604396,0.017582417582417582,0.5186813186813187,108.0,2600,0.054945054945054944,41.36363636363637,0.26373626373626374,0.189010989010989,0.10989010989010989,0.08351648351648351,0.07032967032967033,0.008791208791208791,3.727272727272727,19.8375,5.260800000000003
mid,mid,high,mid,mid,0.1605351170568562,0.5217391304347826,0.013377926421404682,0.10033444816053512,0.006688963210702341,0.013377926421404682,0.0,0.0,0.0,0.020066889632107024,0.0,0.0,0.020066889632107024,0.1605351170568562,0.11371237458193979,0.06688963210702341,0.020066889632107024,0.0,0.006688963210702341,0.0,0.0,0.006688963210702341,0.020066889632107024,0.0033444816053511705,0.09698996655518395,0.0033444816053511705,0.006688963210702341,0.0,0.033444816053511704,0.030100334448160536,0.020066889632107024,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.0,0.05016722408026756,0.006688963210702341,0.0,0.0,0.026755852842809364,0.0033444816053511705,0.046822742474916385,0.016722408026755852,0.04013377926421405,0.0,0.0,0.0,0.0033444816053511705,0.0033444816053511705,0.006688963210702341,0.0033444816053511705,0.0,0.0033444816053511705,0.0033444816053511705,0.0,0.0,0.023411371237458192,0.0,0.0,0.010033444816053512,0.013377926421404682,0.451505016722408,117.5,400,0.010033444816053512,21.357142857142858,0.3177257525083612,0.27424749163879597,0.16387959866220736,0.12709030100334448,0.03678929765886288,0.016722408026755852,1.5714285714285714,6.804972138876982,5.321924686192472
mid,mid,high,mid,mid,0.10227272727272728,0.6439393939393939,0.011363636363636364,0.14772727272727273,0.0,0.003787878787878788,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.06818181818181818,0.13636363636363635,0.1553030303030303,0.06439393939393939,0.07196969696969698,0.0,0.007575757575757576,0.0,0.0,0.015151515151515152,0.026515151515151516,0.003787878787878788,0.17045454545454544,0.0,0.0,0.0,0.07196969696969698,0.01893939393939394,0.01893939393939394,0.0,0.06818181818181818,0.0,0.11363636363636363,0.0,0.0,0.0,0.125,0.015151515151515152,0.0,0.0,0.01893939393939394,0.003787878787878788,0.06060606060606061,0.06060606060606061,0.13257575757575757,0.0,0.0,0.0,0.0,0.015151515151515152,0.003787878787878788,0.003787878787878788,0.0,0.026515151515151516,0.030303030303030304,0.0,0.0,0.07196969696969698,0.015151515151515152,0.03409090909090909,0.01893939393939394,0.003787878787878788,0.3977272727272727,57.5,200,0.003787878787878788,132.0,0.17424242424242425,0.08333333333333333,0.011363636363636364,0.003787878787878788,0.06060606060606061,0.011363636363636364,3.0,6.2149651236525045,5.338405172413799
mid,mid,high,mid,mid,0.06323185011709602,0.5456674473067916,0.03981264637002342,0.14754098360655737,0.00936768149882904,0.03278688524590164,0.00936768149882904,0.0,0.0,0.01873536299765808,0.0,0.0,0.0585480093676815,0.11241217798594848,0.1053864168618267,0.04918032786885246,0.0351288056206089,0.0234192037470726,0.00702576112412178,0.0,0.00234192037470726,0.00468384074941452,0.03747072599531616,0.02576112412177986,0.12177985948477751,0.00234192037470726,0.00936768149882904,0.00234192037470726,0.10304449648711944,0.02576112412177986,0.01405152224824356,0.0,0.0585480093676815,0.00234192037470726,0.07962529274004684,0.03747072599531616,0.0,0.0,0.08665105386416862,0.01639344262295082,0.0,0.0,0.03747072599531616,0.02810304449648712,0.07494145199063232,0.05152224824355972,0.11241217798594848,0.00234192037470726,0.00702576112412178,0.0,0.0,0.00936768149882904,0.0,0.00468384074941452,0.00234192037470726,0.02810304449648712,0.0117096018735363,0.00234192037470726,0.00468384074941452,0.06088992974238876,0.02810304449648712,0.01639344262295082,0.00468384074941452,0.00936768149882904,0.4918032786885246,102.0,2700,0.06088992974238876,71.16666666666667,0.20608899297423888,0.11475409836065574,0.06323185011709602,0.02810304449648712,0.07494145199063232,0.00702576112412178,4.0,17.215069146399617,5.395966386554629
mid,mid,high,mid,mid,0.014354066985645933,0.4354066985645933,0.05263157894736842,0.14832535885167464,0.0,0.019138755980861243,0.0,0.009569377990430622,0.004784688995215311,0.009569377990430622,0.004784688995215311,0.0,0.023923444976076555,0.10047846889952153,0.05741626794258373,0.0430622009569378,0.0,0.009569377990430622,0.009569377990430622,0.0,0.004784688995215311,0.014354066985645933,0.07177033492822966,0.023923444976076555,0.13875598086124402,0.009569377990430622,0.0,0.0,0.0430622009569378,0.014354066985645933,0.028708133971291867,0.028708133971291867,0.0430622009569378,0.0,0.0861244019138756,0.0,0.0,0.0,0.0861244019138756,0.023923444976076555,0.0,0.0,0.04784688995215311,0.023923444976076555,0.05263157894736842,0.05741626794258373,0.09569377990430622,0.0,0.0,0.0,0.0,0.019138755980861243,0.004784688995215311,0.0,0.0,0.019138755980861243,0.019138755980861243,0.0,0.0,0.03827751196172249,0.004784688995215311,0.0,0.023923444976076555,0.009569377990430622,0.69377990430622,79.0,2600,0.11483253588516747,69.66666666666667,0.2966507177033493,0.23923444976076555,0.20095693779904306,0.16267942583732056,0.04784688995215311,0.014354066985645933,7.333333333333333,42.11666666666667,5.478873239436622
mid,mid,high,mid,mid,0.05309734513274336,0.5752212389380531,0.022123893805309734,0.1415929203539823,0.0,0.004424778761061947,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.05752212389380531,0.12389380530973451,0.11504424778761062,0.05309734513274336,0.05309734513274336,0.004424778761061947,0.004424778761061947,0.0,0.0,0.03982300884955752,0.04424778761061947,0.01327433628318584,0.16371681415929204,0.0,0.017699115044247787,0.0,0.13716814159292035,0.01327433628318584,0.008849557522123894,0.004424778761061947,0.048672566371681415,0.0,0.13274336283185842,0.0,0.0,0.0,0.10619469026548672,0.004424778761061947,0.0,0.0,0.008849557522123894,0.017699115044247787,0.084070796460177,0.06637168141592921,0.15486725663716813,0.0,0.017699115044247787,0.0,0.0,0.008849557522123894,0.008849557522123894,0.004424778761061947,0.0,0.030973451327433628,0.008849557522123894,0.0,0.008849557522123894,0.08849557522123894,0.004424778761061947,0.02654867256637168,0.048672566371681415,0.004424778761061947,0.5221238938053098,65.0,800,0.030973451327433628,32.285714285714285,0.23893805309734514,0.15486725663716813,0.10176991150442478,0.03982300884955752,0.07079646017699115,0.02654867256637168,3.4285714285714284,14.444314185228604,5.533473684210529
mid,mid,high,mid,mid,0.07211538461538461,0.46153846153846156,0.038461538461538464,0.14423076923076922,0.0,0.03365384615384615,0.0,0.0,0.0,0.03365384615384615,0.0,0.0,0.04326923076923077,0.11057692307692307,0.0625,0.04326923076923077,0.019230769230769232,0.02403846153846154,0.004807692307692308,0.0,0.0,0.038461538461538464,0.028846153846153848,0.02403846153846154,0.1346153846153846,0.004807692307692308,0.009615384615384616,0.0,0.04326923076923077,0.0,0.038461538461538464,0.0,0.03365384615384615,0.0,0.09134615384615384,0.009615384615384616,0.0,0.0,0.09134615384615384,0.0,0.0,0.0,0.02403846153846154,0.014423076923076924,0.0625,0.03365384615384615,0.0625,0.0,0.0,0.0,0.004807692307692308,0.02403846153846154,0.009615384615384616,0.0,0.004807692307692308,0.009615384615384616,0.004807692307692308,0.0,0.0,0.028846153846153848,0.009615384615384616,0.0,0.014423076923076924,0.004807692307692308,0.5480769230769231,84.5,1000,0.04326923076923077,69.33333333333333,0.2932692307692308,0.21634615384615385,0.10576923076923077,0.08653846153846154,0.052884615384615384,0.004807692307692308,4.666666666666667,17.05993690851735,5.417235294117648
mid,mid,high,mid,mid,0.047619047619047616,0.6642857142857143,0.06666666666666667,0.19285714285714287,0.0,0.02857142857142857,0.011904761904761904,0.01904761904761905,0.002380952380952381,0.02142857142857143,0.009523809523809525,0.004761904761904762,0.06190476190476191,0.10476190476190476,0.08333333333333333,0.03571428571428571,0.04285714285714286,0.011904761904761904,0.014285714285714285,0.0,0.0,0.02142857142857143,0.06666666666666667,0.05,0.21428571428571427,0.002380952380952381,0.0,0.0,0.1380952380952381,0.009523809523809525,0.009523809523809525,0.002380952380952381,0.05,0.002380952380952381,0.11428571428571428,0.007142857142857143,0.0,0.0,0.14523809523809525,0.0380952380952381,0.002380952380952381,0.0,0.009523809523809525,0.02619047619047619,0.05714285714285714,0.09523809523809523,0.19047619047619047,0.0,0.0,0.004761904761904762,0.0,0.06190476190476191,0.0,0.007142857142857143,0.0,0.04285714285714286,0.02619047619047619,0.002380952380952381,0.011904761904761904,0.09523809523809523,0.009523809523809525,0.009523809523809525,0.05238095238095238,0.01904761904761905,0.45714285714285713,38.5,400,0.002380952380952381,38.18181818181818,0.21666666666666667,0.14047619047619048,0.08571428571428572,0.030952380952380953,0.10238095238095238,0.023809523809523808,2.0,12.944223107569721,5.51650385604113
